file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,37
style.css,54,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,20
style.css,55,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,56,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,57,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,11
style.css,58,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,39
style.css,59,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,69
style.css,60,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,61,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,62,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,13
style.css,63,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,45
style.css,64,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,20
style.css,65,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,66,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,67,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,4
style.css,68,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,7
style.css,69,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,0,5
style.css,70,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,0,6
style.css,71,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,12
style.css,72,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,21
style.css,73,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,74,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,75,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,0,13
style.css,76,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,17
style.css,77,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,8
style.css,78,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,10
style.css,79,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,13
style.css,80,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,12
style.css,81,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,9
style.css,82,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,1,18
style.css,83,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,0,0
style.css,84,css,a38af537,Rishvik,2026-04-25,21:06:55,-07:00,2026-04-25T21:06:55-07:00,0,0
style.css,85,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,4
style.css,86,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,12
style.css,87,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,30
style.css,88,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,7
style.css,89,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,90,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,91,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,10
style.css,92,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,12
style.css,93,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,29
style.css,94,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,18
style.css,95,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,17
style.css,96,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,97,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,98,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,11
style.css,99,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,18
style.css,100,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,101,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,102,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,9
style.css,103,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,13
style.css,104,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,1,10
style.css,105,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,106,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,107,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,21
style.css,108,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,22
style.css,109,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,0
style.css,110,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,0
style.css,111,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,24
style.css,112,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,15
style.css,113,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,21
style.css,114,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,37
style.css,115,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,0
style.css,116,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,0
style.css,117,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,0,14
